id,question,concept,answer1,answer2
0,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,,Dennis,Ian
1,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,,Ian,Dennis
2,"He never comes to my home, but I always go to his house because the _ is smaller.",,home,house
3,"He never comes to my home, but I always go to his house because the _ is bigger.",,house,home
4,"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate.",,Logan,Kyle
5,"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a warmer climate.",,Kyle,Logan
6,The GPS and map helped me navigate home.  I got lost when the _ got turned upside down.,,map,GPS
7,The GPS and map helped me navigate home.  I got lost when the _ got turned off.,,GPS,map
8,"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",,Patricia,Emily
9,"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",,Emily,Patricia
10,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.,,trolley,safe
11,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.,,safe,trolley
12,"He thought he had time to take the scenic route to the store, but the _ was under construction.",,route,store
13,"He thought he had time to take the scenic route to the store, but the _ was closed early.",,store,route
14,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick.,,table,chair
15,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is time consuming.,,chair,table
16,"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.",,conscious,unconscious
17,"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are involuntary.",,unconscious,conscious
18,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,,Jessica,Megan
19,Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,,Megan,Jessica
20,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.,,peanuts,raisins
21,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.,,raisins,peanuts
22,Craig really loves to clean all the time but Derrick does not because _ is very neat.,,Craig,Derrick
23,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,,Derrick,Craig
24,Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers.,,Dennis,Robert
25,Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers.,,Robert,Dennis
26,The party was more interesting and uplifing than the funeral because the _ was rigid.,,funeral,party
27,The party was more interesting and uplifting than the funeral because the _ was flexible.,,party,funeral
28,The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.,,forests,fields
29,The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.,,fields,forests
30,"The plant took up too much room in the urn, because the _ was small.",,urn,plant
31,"The plant took up too much room in the urn, because the _ was large.",,plant,urn
32,"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low.",,bird house,ground
33,"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too high.",,ground,bird house
34,I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day.,,pool,spa
35,I prefer spa to the pool and I find the hot water in the _ relaxing at the end of the day.,,spa,pool
36,Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.,,Elena,Megan
37,Megan said it would be liberating to go out without makeup like Elena does. _ always wore makeup when she left the house.,,Megan,Elena
38,Donald was richer than Leslie was because companies had found oil on the property of _ .,,Donald,Leslie
39,Donald was poorer than Leslie was because companies had found oil on the property of _ .,,Leslie,Donald
40,"Feeling a draft, William asked Neil to please close the front door because _ was closer.",,Neil,William
41,"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",,William,Neil
42,Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner.,,Megan,Lindsey
43,Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.,,Lindsey,Megan
44,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,,Megan,Elena
45,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,,Elena,Megan
46,"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",,Dennis,Kenneth
47,"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",,Kenneth,Dennis
48,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",,Eric,Neil
49,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",,Neil,Eric
50,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",,Tanya,Patricia
51,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",,Patricia,Tanya
52,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.",,wristlet,tweezer
53,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.",,tweezer,wristlet
54,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,,Kevin,Nelson
55,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,,Nelson,Kevin
56,"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",,Emily,Sarah
57,"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",,Sarah,Emily
58,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",,Tanya,Elena
59,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",,Elena,Tanya
60,"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",,Rebecca,Amy
61,"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",,Amy,Rebecca
62,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.,,Erin,Jennifer
63,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.,,Jennifer,Erin
64,The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.,,party,alcohol
65,The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.,,alcohol,party
66,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",,Jason,Dennis
67,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",,Dennis,Jason
68,"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",,Benjamin,Joseph
69,"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",,Joseph,Benjamin
70,John poured the entire bowl of fish into the hot pan on the stove until the _ was full.,,pan,bowl
71,John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.,,bowl,pan
72,Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.,,gym,class
73,Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.,,class,gym
74,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.,,Betty,Natalie
75,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.,,Natalie,Betty
76,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.,,Aaron,Benjamin
77,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.,,Benjamin,Aaron
78,"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",,Nick,Kevin
79,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",,Kevin,Nick
80,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.,,Adam,Aaron
81,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.,,Aaron,Adam
82,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for plum season.,,Matthew,Kyle
83,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.,,Kyle,Matthew
84,"Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.",,Justin,Derrick
85,"Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.",,Derrick,Justin
86,"Avery was debating on taking up German instead of Latin, because the _ was newer.",,German,Latin
87,"Avery was debating on taking up German instead of Latin, because the _ was old.",,Latin,German
88,"Kayla dated many more people at once than Betty, because _ was in an open relationship.",,Betty,Kayla
89,"Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.",,Kayla,Betty
90,Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is hardworking.,,Steven,Michael
91,Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is astonished.,,Michael,Steven
92,"The letter that Joel has written is being read by Adam, so _ is the writer.",,Joel,Adam
93,"The letter that Joel has written is being read by Adam, so _ is the editor.",,Adam,Joel
94,"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",,Kyle,Nick
95,"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",,Nick,Kyle
96,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.,,Felicia,Emily
97,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.,,Emily,Felicia
98,Sarah Jane's watch smashed when the book hit it since the _ was too strong.,,book,watch
99,Sarah Jane's watch smashed when the book hit it since the _ was too weak.,,watch,book
100,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.",,Joseph,Kevin
101,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.",,Kevin,Joseph
102,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.",,Christopher,Dennis
103,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.",,Dennis,Christopher
104,"I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.",,rain,moisture
105,"I couldn't control the moisture like I controlled the rain, because the _ was coming in everywhere.",,moisture,rain
106,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.",,Leslie,Derrick
107,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.",,Derrick,Leslie
108,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the jazz concert.,,Patricia,Jessica
109,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the Darude rave.,,Jessica,Patricia
110,Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.,,bowl,mouth
111,Bill poured the entire bowl of cheese snack into his mouth until the _ was full.,,mouth,bowl
112,"Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.",,soccer,bowling
113,"Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.",,bowling,soccer
