id,question,concept,true_answer,wrong1,wrong2,wrong3,wrong4
075e483d21c29a511267ef62bedc0461,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",,ignore,enforce,authoritarian,yell at,avoid
61fe6e879ff18686d7552425a36344c8,Sammy wanted to go to where the people were.  Where might he go?,,populated areas,race track,the desert,apartment,roadblock
4c1cb0e95b99f72d55c068ba0255c54d,To locate a choker not located in a jewelry box or boutique where would you go?,,jewelry store,neck,jewlery box,jewelry box,boutique
02e821a3e53cb320790950aab4489e85,Google Maps and other highway and street GPS services have replaced what?,,atlas,united states,mexico,countryside,oceans
23505889b94e880c3e89cff4ba119860,"The fox walked from the city into the forest, what was it looking for?",,natural habitat,pretty flowers.,hen house,storybook,dense forest
e8a8b3a2061aa0e6d7c6b522e9612824,What home entertainment equipment requires cable?,,television,radio shack,substation,cabinet,desk
09555c056f3cf0b7e0b84d8df4be1db7,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",,airport,garbage can,military,jewelry store,safe
3d0f8824ea83ddcc9ab03055658b89d3,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",,refrigerator,carpet,breadbox,fridge,coach
86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,,blotter,shirt pocket,calligrapher's hand,inkwell,desk drawer
cae61908c731d4a20889e04c3e784ebe,Where is a business restaurant likely to be located?,,business sector,town,at hotel,mall,yellow pages
1a7f5b3c65364d9be002576660c914fe,Where do you put your grapes just before checking out?,,grocery cart,mouth,super market,fruit basket,fruit market
dac769116ed064bc70936c15eb822c3e,"Before getting a divorce, what did the wife feel who was doing all the work?",,bitterness,harder,anguish,tears,sadness
f5c9664c9930b704f2724fbd617bee9d,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,,garden,state park,bus depot,gym,rest area
b63b9809c203321d6659ddf8551894bf,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,,loss of heat,revenge,expansion,relaxation,calm down
527e72eb38950b8031ee6217ef531960,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",,kitchen,yard,basement,living room,garden
e6766a66f8d326bf00fbf628a0e4ef24,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",,louisiana,low lands,new york,forest,everglades
a76403b4921a9281b6ee2a7241a5ec9f,What is it called when you slowly cook using a grill?,,barbeque,backyard,restaurant,crockpot,neighbor's house
ad96098698b8378b2e79c6424920ffbd,What type of person typically contracts illness?,,elderly person,hospital,head,sick person,doctor's office
6d4ed2c485187ed79ff3bdcc8cca6132,Where would you expect to find a pizzeria while shopping?,,food court,chicago,street,little italy,capital cities
a40f5339ee858a0a119cbac052c5a2d0,"When eating everything on the tasting menu, what does one tend to feel?",,getting full,full stomach,gaining weight,sick,satisfaction
4850bf8b6b309548ef623d5592ffbca2,What does playing soccer for a long time lead to?,,getting tired,excitement,fatigue,anger,hurting
e6d99b4b76f74961a400ad0001b13b73,Which entrance would you use if you do not want to use the back entrance?,,main,side,anterior,current,front
f5950a62f9eaae34f1e914b3cf5208cf,You can share files with someone if you have a connection to a what?,,computer network,freeway,radio,wires,electrical circuit
f36489668c28b26c0cdbc56cec1db27b,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",,airplane,car,fuel system,accelerate,boat
0476192858e7f541611b5c2d3c5e5197,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",,being found out,the reward money,hurt feelings,problems,trouble
df7861813910ae204c3bd0b3c16fe5d9,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",,take money,park,make time for,receive instructions,leave work
c12a904025471139df4f8860cc380c60,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",,moving,walk,lay down,working,exercise
a69bd1bf3c06a233d696a00d71a9db36,Too many people want exotic snakes.  The demand is driving what to carry them?,,pet shops,ditch,shop,north america,outdoors
84e983f432647531b55b8b72c12fb78a,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",,law suit,knife wounds,buy a gun,bleeding,jail time
68f123f22be7bff13875e8b752b2d933,To prevent any glare during the big football game he made sure to clean the dust of his what?,,television,attic,corner,they cannot clean corner and library during football match they cannot need that,ground
c9580b132b323906f0d51e7dc5b4ce29,"I have something in my head I want to share, what ways can I do that?",,speak information,write an essay,organize thoughts,summarize main points,have information
80930e9df9ac4ad752749a54e7fc124f,"He wanted a house that was gated off from other places, where should he start looking?",,subdivision,neighborhood,city,suburbs,street
f080ab037c1aaf689a43cc030e9d93e9,Where in Southern Europe would you find many canals?,,venice,michigan,new york,amsterdam,bridge
a261d4eaf8b33c0730d830ebbffbd9f8,What would a camper need to do before he or she can start cooking food?,,light fire,make breakfast,go hiking,pack or bag,grab a match
bfd14dedb440ae1c266c61aa22960778,What could happen to a paper if you leave it outside even if it does not move?,,saturated with water,one material often recycled,ripped,one dimensional,crumpled
